time,infections,deaths
2020-03-16_16:15:01,150,3
2020-03-16_17:15:01,156,3
2020-03-16_20:40:50,177,4
2020-03-16_22:43:40,177,4
2020-03-16_22:46:42,177,4
2020-03-16_23:15:01,177,4
2020-03-17_00:15:01,177,4
2020-03-17_17:56:01,221,5
2020-03-17_18:15:01,221,5
2020-03-17_19:15:01,221,5
2020-03-17_20:15:01,221,5
2020-03-17_21:15:01,221,5
2020-03-17_22:15:01,238,5
2020-03-17_23:15:01,238,5
2020-03-18_00:15:02,238,5
2020-03-18_11:14:10,246,5
2020-03-18_11:15:01,246,5
2020-03-18_12:15:01,246,5
2020-03-18_13:15:01,246,5
2020-03-18_14:15:01,246,5
2020-03-18_15:15:01,251,5
2020-03-18_16:15:01,251,5
2020-03-18_16:45:51,251,5
2020-03-18_17:15:02,251,5
2020-03-18_18:15:01,251,5
2020-03-18_19:15:02,287,5
2020-03-18_20:15:01,287,5
2020-03-18_21:15:02,287,5
2020-03-18_22:15:01,287,5
2020-03-18_23:15:02,287,5
2020-03-19_00:15:02,287,5
2020-03-19_11:15:02,305,5
